                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0054,                 5.1599,                  1.715,                      0,                      0,                      0,                      0,                 1.9957,                 5.6896,                 2.1248,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.2548,                 5.4765,                 1.7638,                      0,                      0,                      0,                      0,                 1.6415,                 5.1567,                 2.0267,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.7174,                 4.2372,                 1.4463,                0.00148,                0.36364,                0.00171,                0.00111,                 1.7164,                 5.1393,                 1.5214,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.7679,                  3.396,                 1.3763,                0.00222,                0.54545,                 0.0032,                0.00197,                 1.3648,                 4.7141,                 1.3602,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.4809,                 2.9612,                 1.2723,                0.00185,                0.45455,                0.00266,                0.00161,                 1.2657,                 4.6589,                 1.3139,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.6198,                 2.6788,                  1.287,                0.00259,                0.63636,                0.00322,                0.00185,                 1.2652,                 4.3317,                 1.1947,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.6274,                 2.9624,                 1.2863,                0.00185,                0.45455,                0.00194,                0.00119,                 1.5271,                 4.3695,                 1.2923,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.5576,                 2.4963,                  1.252,                0.00259,                0.63636,                0.00358,                0.00169,                 1.6724,                 4.3417,                 1.3985,             0.00090743,             0.00090743,             0.00090743
                      9,                  1.519,                 2.2988,                 1.2756,                0.00296,                0.72727,                0.05061,                0.03483,                  1.529,                 3.8339,                 1.2727,               0.001018,               0.001018,               0.001018
                     10,                 1.6436,                 2.3169,                 1.3508,                0.00222,                0.54545,                0.00211,                0.00113,                 1.5571,                 4.0242,                 1.3235,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.7189,                 2.2861,                 1.4273,                0.00259,                0.63636,                0.11184,                0.06103,                 1.8934,                 3.9843,                 1.5278,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5268,                 2.2104,                 1.2412,                0.00222,                0.54545,                0.09768,                0.04854,                 2.0525,                 4.0957,                 1.6305,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.5095,                 2.1107,                  1.306,                0.53397,                0.10944,                0.23355,                0.15777,                 1.5836,                 3.4542,                 1.2224,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.5773,                 2.2454,                 1.2809,                      1,                0.17485,                0.26343,                0.17279,                 2.0094,                 3.5627,                 1.3784,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.5987,                  2.245,                 1.2934,                      1,                 0.2725,                0.36398,                0.19042,                 1.8364,                 3.3736,                 1.3289,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.4474,                 2.0115,                 1.1402,                0.96678,                0.36364,                 0.4113,                0.24374,                  1.787,                 2.5562,                 1.5784,              0.0017589,              0.0017589,              0.0017589
                     17,                  1.422,                 1.9588,                 1.2108,                0.97345,                0.36364,                0.36951,                0.22818,                 1.8307,                 2.9037,                 1.6224,              0.0018416,              0.0018416,              0.0018416
