                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1606,                  9.625,                 1.7139,                      0,                      0,                      0,                      0,                  2.043,                 6.7973,                 2.2872,                 0.0001,                 0.0001,                 0.0001
                      2,                  2.271,                 10.108,                 1.8089,                      0,                      0,                      0,                      0,                 2.4516,                 50.713,                 2.4759,             0.00021891,             0.00021891,             0.00021891
                      3,                 2.1538,                 7.9962,                 1.6794,                0.00157,                0.18182,                0.00104,                0.00037,                 2.3533,                 36.505,                 2.0131,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.7699,                 3.6389,                 1.3987,                0.00663,                0.09091,                0.00172,                0.00105,                 2.5097,                  32.99,                  1.963,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.6775,                 3.1982,                 1.3432,                0.00158,                0.09091,                0.00229,                0.00109,                 2.0977,                 50.014,                 1.5786,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.6534,                 2.7769,                 1.3623,                0.00314,                0.18182,                0.00234,                0.00095,                 1.9623,                 28.416,                 1.6201,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.6394,                 2.2268,                 1.4094,                0.03378,                0.18182,                0.02047,                 0.0099,                 1.8889,                 35.846,                 1.8892,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.6168,                 2.0767,                 1.3123,                0.01989,                0.18182,                0.01097,                 0.0063,                 1.9208,                 29.192,                 1.7273,             0.00090743,             0.00090743,             0.00090743
                      9,                  1.617,                 1.7833,                 1.4268,                0.02235,                0.45455,                0.01717,                0.00673,                 2.0062,                 370.98,                 1.9712,               0.001018,               0.001018,               0.001018
                     10,                 1.5321,                 1.6978,                 1.3292,                0.19557,                0.54545,                0.41495,                0.17663,                 1.8454,                 17.595,                 1.6932,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.5422,                 2.1876,                 1.4002,                0.00596,                0.09091,                0.00375,                0.00198,                 1.9305,                 557.63,                  1.698,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5267,                 1.6812,                 1.2712,                0.00155,                0.27273,                0.00223,                0.00085,                 2.2593,                 29.999,                 1.7987,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.6447,                 1.7734,                 1.4035,                0.37783,                0.27273,                0.28792,                 0.1645,                 1.7917,                 2.6742,                 1.7681,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.5305,                 1.5135,                 1.3294,                0.30067,                0.09091,                0.11759,                0.04629,                 2.3747,                 7.7311,                 2.2358,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.5533,                 1.6284,                 1.3633,                0.00364,                0.09091,                0.00139,                0.00041,                 3.6343,                 300.15,                 16.067,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.5418,                 1.7332,                 1.2614,                0.00148,                0.36364,                0.00189,                0.00056,                 3.7513,                    inf,                 14.206,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.5424,                 1.9064,                 1.3526,                0.00202,                0.45455,                0.00143,                0.00044,                 2.9349,                 1726.7,                 3.5409,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.4978,                 1.4926,                 1.2853,                0.30309,                0.36364,                0.15674,                0.08364,                 1.8853,                 4.1621,                 1.5837,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.6214,                 1.4673,                 1.3748,                0.79912,                0.36203,                0.37721,                0.18254,                 1.8917,                 3.1943,                 1.6527,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.6468,                 1.3909,                  1.446,                0.50065,                0.45584,                0.58738,                0.28503,                 1.8947,                 2.7149,                 1.6274,              0.0018218,              0.0018218,              0.0018218
                     21,                  1.464,                 1.1769,                 1.3216,                0.61893,                0.54545,                0.56228,                0.24547,                 1.6659,                 2.8911,                 1.4793,              0.0018119,              0.0018119,              0.0018119
                     22,                  1.475,                 1.4384,                 1.2538,                  0.485,                0.36364,                0.32825,                0.19607,                 1.5848,                 2.5891,                 1.4497,               0.001802,               0.001802,               0.001802
                     23,                 1.5055,                 1.4331,                 1.2116,                0.42747,                0.27273,                0.24569,                0.15174,                  1.708,                 2.7661,                 1.5351,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.4588,                 1.3527,                 1.2789,                0.82235,                0.45455,                0.40855,                0.23415,                 1.7005,                 2.4507,                 1.5238,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.3958,                 1.3182,                 1.3425,                0.74474,                0.36364,                0.35474,                0.19074,                 1.5965,                 2.4306,                 1.3692,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.5579,                 1.1665,                 1.3586,                 0.5696,                 0.3613,                0.35711,                0.19648,                 1.7985,                 2.7387,                 1.5159,              0.0017624,              0.0017624,              0.0017624
                     27,                   1.49,                 1.3653,                 1.2719,                0.70359,                0.45455,                0.56896,                0.29357,                 1.7055,                 1.9172,                 1.4845,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.5003,                 1.2629,                  1.259,                0.79825,                0.72012,                 0.7313,                0.37696,                  1.885,                 1.4775,                 1.6124,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.4465,                  1.187,                 1.2654,                0.84535,                0.72727,                0.74468,                0.34605,                    1.8,                 1.3804,                 1.5832,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.6219,                 1.4127,                 1.3731,                      1,                0.34944,                0.43896,                 0.2271,                 2.0495,                 1.8328,                 1.7821,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.4533,                 1.2164,                 1.2096,                0.61838,                0.44331,                0.43751,                0.21145,                 2.1211,                 1.7912,                 1.7844,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.3772,                 1.1709,                  1.206,                0.99478,                0.54545,                0.66088,                0.29468,                 1.9682,                 1.6048,                 1.6968,               0.001703,               0.001703,               0.001703
                     33,                 1.4925,                 1.1718,                 1.2664,                0.55892,                0.63636,                0.60371,                0.24256,                 1.9731,                 1.4215,                 1.7042,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.5226,                 1.1419,                 1.3283,                0.78096,                0.54545,                 0.7228,                0.35453,                 1.9104,                 1.3796,                 1.6562,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.4195,                 1.0175,                 1.2722,                0.95066,                0.45455,                0.55787,                0.28206,                 1.8811,                 2.2318,                 1.4936,              0.0016733,              0.0016733,              0.0016733
                     36,                  1.424,                 1.1695,                 1.1978,                0.81105,                0.45455,                0.51905,                0.26817,                 1.8169,                 1.9071,                 1.4779,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.2975,                 1.0867,                 1.1872,                0.61846,                0.54545,                0.56553,                0.24842,                 2.0711,                 1.7529,                 1.6913,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.2496,                 1.0211,                 1.1618,                 0.7608,                0.72727,                0.81578,                0.37504,                 1.8801,                 1.1913,                 1.6427,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.3668,                 1.0699,                 1.1862,                0.76148,                0.63636,                0.76254,                 0.3653,                 1.8135,                 1.2067,                 1.6554,              0.0016337,              0.0016337,              0.0016337
                     40,                  1.436,                  1.004,                 1.2412,                0.85361,                0.53196,                0.68338,                0.34289,                 1.7191,                 1.1089,                 1.4805,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.3245,                0.98801,                 1.1398,                0.54393,                0.63636,                0.54769,                0.27528,                 1.8298,                 1.3426,                 1.5881,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.3108,                0.96584,                 1.1826,                0.42233,                0.81818,                0.55921,                0.27791,                  1.767,                 1.7037,                 1.4695,               0.001604,               0.001604,               0.001604
                     43,                 1.2647,                0.97371,                 1.1847,                0.46474,                0.72727,                0.57315,                  0.258,                 1.8264,                 1.5657,                  1.496,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.1843,                0.90627,                 1.1459,                0.40215,                 0.6126,                0.52106,                0.26194,                 1.9387,                 1.4921,                 1.5284,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.2554,                0.92354,                 1.1574,                0.46672,                0.63636,                0.54023,                0.28685,                 1.8048,                 1.5539,                 1.4574,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.2356,                0.97034,                  1.141,                0.69821,                0.63148,                0.67036,                0.32781,                 1.7705,                  1.303,                 1.5559,              0.0015644,              0.0015644,              0.0015644
                     47,                  1.281,                0.93398,                 1.2227,                 0.6777,                0.36364,                0.48357,                0.20239,                 1.9159,                 1.8373,                  1.799,              0.0015545,              0.0015545,              0.0015545
                     48,                  1.202,                0.97887,                 1.1704,                0.98401,                0.45455,                0.53574,                0.26324,                 1.8848,                 1.8098,                  1.712,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.1707,                0.87397,                 1.0846,                0.53207,                0.63636,                0.55947,                0.32957,                 1.7039,                 1.6852,                 1.5581,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.2114,                0.91601,                 1.1716,                0.56888,                0.54545,                0.58788,                0.35993,                 1.5533,                 1.6584,                  1.458,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.2166,                0.90164,                 1.1579,                0.54644,                0.45455,                0.49112,                0.27572,                 1.6038,                 1.9031,                 1.4605,              0.0015149,              0.0015149,              0.0015149
                     52,                  1.164,                0.91578,                 1.1475,                0.95482,                0.45455,                0.67341,                0.36784,                 1.8187,                 1.2838,                 1.5811,               0.001505,               0.001505,               0.001505
                     53,                 1.2127,                0.90775,                 1.1384,                0.86311,                0.63636,                0.78919,                0.39379,                 1.6823,                 1.2585,                 1.5797,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.2636,                0.94023,                 1.1566,                      1,                0.70388,                0.80929,                0.46989,                 1.7256,                 1.2637,                  1.509,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.3804,                 1.0269,                 1.1856,                 0.8698,                0.72727,                0.79905,                0.45045,                 1.6461,                 1.0576,                 1.4479,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.2404,                0.91534,                 1.1389,                0.72305,                0.63636,                  0.704,                0.30816,                 1.9013,                 1.4457,                 1.6585,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.2587,                0.89498,                 1.1438,                0.56656,                0.63636,                0.72257,                0.36039,                  1.738,                 1.3585,                  1.582,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.2627,                0.92954,                 1.2147,                0.52816,                0.63636,                0.60521,                0.27656,                 2.0606,                 1.3579,                 1.8395,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.1382,                0.92784,                 1.0985,                0.73423,                0.81818,                0.78549,                0.36135,                  1.896,                  1.199,                 1.6864,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.0902,                0.86214,                 1.1063,                0.98019,                0.36364,                0.60623,                0.26237,                 1.9772,                 1.7327,                 1.7032,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.1979,                0.88371,                 1.1419,                0.80933,                0.45455,                0.60415,                0.29295,                 1.9422,                 2.0222,                 1.6755,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.1264,                0.85314,                 1.1101,                0.87894,                0.63636,                 0.7637,                0.34755,                 1.8104,                  1.348,                 1.5505,               0.001406,               0.001406,               0.001406
                     63,                 1.2223,                0.80833,                 1.0926,                      1,                0.51599,                 0.6454,                0.32792,                 1.8529,                 1.3312,                 1.6281,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.1404,                0.80561,                 1.0847,                0.57398,                0.54545,                0.48333,                0.27868,                 1.6901,                 1.5536,                 1.5117,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.1361,                 0.8082,                 1.1143,                0.68237,                0.63636,                0.63393,                0.33955,                 1.7716,                 1.3206,                 1.5846,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.1285,                0.85125,                 1.1048,                0.97655,                0.54545,                 0.7035,                0.35461,                 1.7852,                 1.2226,                 1.5758,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.1516,                0.85961,                 1.0869,                      1,                0.62728,                0.69169,                0.35678,                 1.7838,                 1.3068,                  1.571,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.2331,                0.90748,                 1.1442,                0.85707,                0.63636,                0.68719,                0.37225,                 1.6062,                 1.0717,                 1.5096,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.1895,                0.99307,                 1.1566,                0.74382,                0.79347,                0.82487,                0.44582,                 1.5065,                0.96099,                 1.4159,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.1852,                0.88579,                  1.178,                0.73649,                0.81818,                0.76323,                0.35292,                 1.8582,                 1.1584,                 1.6869,              0.0013268,              0.0013268,              0.0013268
                     71,                  1.437,                0.90819,                 1.2173,                0.64779,                0.72727,                0.68634,                0.32234,                 1.7702,                 1.2837,                 1.5814,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.1438,                0.79957,                 1.1199,                 0.5294,                0.61494,                0.50232,                0.23853,                 1.7847,                 1.5952,                 1.5712,               0.001307,               0.001307,               0.001307
                     73,                 1.2262,                0.91566,                 1.1592,                0.47428,                0.63636,                0.59545,                0.29866,                 1.8044,                 1.5558,                 1.4788,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.1353,                0.82194,                 1.0814,                0.70069,                0.72727,                0.75018,                0.36563,                 1.7449,                 1.2923,                 1.4451,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.1409,                0.79531,                 1.0939,                0.64539,                0.72727,                0.75838,                0.35635,                 1.8593,                 1.0713,                 1.6888,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.1636,                0.81467,                 1.1022,                      1,                0.53357,                0.64454,                 0.3659,                 1.7316,                 1.3757,                 1.5037,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.2139,                0.94187,                 1.0779,                0.68452,                0.45455,                0.57956,                0.33086,                 1.6994,                 1.4576,                 1.4432,              0.0012575,              0.0012575,              0.0012575
                     78,                0.99656,                0.71927,                0.98425,                0.71181,                0.44983,                0.51185,                0.32101,                 1.6851,                 1.3975,                 1.4306,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.0413,                 0.7249,                 1.0693,                0.41731,                0.54545,                0.48247,                0.24695,                 1.6899,                 1.6765,                 1.3759,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.0448,                0.80395,                 1.0619,                0.48244,                0.54545,                0.52803,                 0.3209,                 1.6741,                  1.309,                 1.4555,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.1536,                 0.8026,                 1.1039,                0.94458,                0.45455,                0.65055,                0.35018,                 1.8684,                 1.2164,                  1.682,              0.0012179,              0.0012179,              0.0012179
                     82,                0.98135,                0.68688,                 1.0277,                0.50066,                0.45587,                0.44352,                0.27024,                 2.1141,                 2.3013,                 1.7659,               0.001208,               0.001208,               0.001208
                     83,                 1.0984,                0.70933,                  1.044,                0.57861,                0.54545,                0.46427,                0.25189,                 1.9986,                 2.0844,                 1.6754,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.1635,                0.77942,                 1.0959,                0.95649,                0.45455,                0.55245,                0.32374,                 1.8727,                 1.4758,                 1.6386,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.0391,                0.71878,                 1.0392,                0.84325,                0.54545,                0.63383,                0.37041,                 1.8181,                 1.3054,                 1.5952,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.0776,                0.76292,                   1.05,                0.86075,                0.63636,                0.71128,                0.41111,                  1.827,                 1.0241,                 1.6491,              0.0011684,              0.0011684,              0.0011684
                     87,                0.98198,                0.67546,                 1.0317,                0.84377,                0.63636,                0.71489,                0.41482,                 1.7764,                 1.0022,                 1.5926,              0.0011585,              0.0011585,              0.0011585
                     88,                 1.0024,                0.72865,                 1.0852,                0.66035,                0.36364,                0.48198,                0.24386,                  1.849,                 2.6762,                 1.5584,              0.0011486,              0.0011486,              0.0011486
                     89,                  1.073,                0.79672,                 1.0553,                 0.5447,                0.36364,                0.35694,                0.16163,                 1.8617,                 3.2316,                 1.5439,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.0698,                0.90332,                 1.0386,                0.99623,                0.45455,                0.56175,                0.34307,                  1.886,                 2.2097,                 1.6211,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.1099,                   0.81,                 1.0589,                0.62757,                0.61438,                0.64892,                0.41463,                 1.7238,                 1.4085,                 1.5267,              0.0011189,              0.0011189,              0.0011189
                     92,                0.95333,                0.66936,                 0.9946,                0.57923,                0.62652,                0.62949,                 0.4324,                 1.5204,                 1.2435,                 1.3882,               0.001109,               0.001109,               0.001109
                     93,                0.96177,                0.71361,                 1.0426,                0.60123,                0.68712,                0.65614,                0.40985,                 1.6299,                 1.1763,                 1.4063,              0.0010991,              0.0010991,              0.0010991
                     94,                0.97033,                0.69372,                 1.0282,                0.97635,                0.54545,                0.73304,                 0.4445,                 1.5903,                 1.1718,                 1.4134,              0.0010892,              0.0010892,              0.0010892
                     95,                0.96746,                0.63518,                 1.0138,                 0.7214,                0.54545,                0.69987,                0.43808,                 1.5933,                 1.2697,                 1.4442,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.0381,                0.68544,                 1.0551,                0.94591,                0.36364,                0.45259,                0.22044,                 2.0808,                 2.6167,                 1.7107,              0.0010694,              0.0010694,              0.0010694
                     97,                0.95351,                0.65212,                0.98892,                0.97115,                0.36364,                0.38969,                0.16259,                 2.1668,                 2.9282,                 1.8871,              0.0010595,              0.0010595,              0.0010595
                     98,                0.92752,                0.63184,                 1.0273,                0.67043,                0.45455,                0.51048,                 0.2371,                 2.1716,                 2.3545,                 1.8055,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.0516,                0.70056,                 1.0272,                0.82806,                0.54545,                0.58172,                0.27633,                   1.89,                 1.4862,                 1.6859,              0.0010397,              0.0010397,              0.0010397
