                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1749,                 9.0834,                 1.8891,                0.00067,                    0.2,                0.00041,                  4e-05,                 2.1661,                 7.4154,                 2.0739,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.8121,                 11.207,                 1.5284,                0.00033,                    0.1,                0.00019,                  2e-05,                 2.1842,                 7.9584,                  2.031,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.9711,                 6.3971,                 1.5939,                0.46576,                    0.1,                0.09709,                0.03088,                 2.2533,                 12.066,                 1.8889,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.5424,                 2.7962,                 1.2815,                0.00285,                    0.1,                0.00137,                0.00067,                 2.4536,                 10.966,                 1.9166,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.5124,                 2.3206,                 1.2567,                0.00836,                    0.1,                0.00221,                0.00125,                 2.2697,                 18.441,                 1.8558,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.4735,                 2.2382,                 1.2466,                0.00576,                    0.3,                0.00901,                0.00451,                 2.2134,                 5.8015,                  1.809,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.4667,                 2.3516,                 1.3172,                0.08242,                    0.2,                0.03556,                0.01704,                 2.3274,                 3.9619,                 1.8796,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.6366,                 2.1046,                 1.3788,                0.71274,                    0.3,                0.28708,                0.12493,                 2.2476,                 2.9222,                  1.909,             0.00090743,             0.00090743,             0.00090743
                      9,                  1.626,                 2.0856,                 1.2898,                0.23238,                    0.3,                0.20543,                0.12683,                 1.9085,                 3.0351,                  1.774,               0.001018,               0.001018,               0.001018
                     10,                 1.5455,                 1.8193,                 1.2989,                0.95326,                    0.2,                0.24628,                0.13183,                 2.2221,                 3.1616,                 3.4486,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.5222,                 1.7581,                 1.2303,                0.24311,                    0.2,                 0.1241,                0.07535,                 2.8979,                 2.6059,                 10.883,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.4317,                 1.4913,                 1.2219,                0.63917,                    0.2,                 0.1631,                0.09296,                 2.7146,                 3.0203,                  8.556,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.4656,                 1.5247,                 1.2513,                0.47343,                    0.1,                0.06652,                0.04752,                 2.8921,                 4.1531,                 6.0494,              0.0014485,              0.0014485,              0.0014485
                     14,                  1.464,                 1.4605,                 1.3063,                0.28558,                    0.3,                0.25124,                0.13396,                  2.081,                 2.2366,                 2.2082,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.4791,                 1.4899,                  1.333,                      1,                    0.1,                 0.1106,                0.06439,                 1.9206,                 22.282,                 2.3074,              0.0016566,              0.0016566,              0.0016566
