                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2509,                 9.0475,                 1.7495,                0.00037,                    0.1,                0.00024,                  5e-05,                 2.2969,                 6.8839,                 1.7993,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.2319,                 9.8665,                 1.8251,                0.00037,                    0.1,                0.00024,                  5e-05,                 1.9748,                 44.744,                 1.6306,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.7162,                  6.361,                 1.4334,                0.00037,                    0.1,                0.00022,                0.00011,                 2.6025,                 30.717,                 2.0416,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.6268,                  2.859,                 1.2764,                0.01226,                    0.1,                0.00242,                0.00112,                 2.2876,                 43.988,                 1.6203,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.4969,                 2.3331,                 1.2305,                0.03362,                    0.1,                0.00409,                0.00209,                 1.7953,                 17.739,                 1.2942,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.5978,                 2.5878,                 1.3225,                0.03362,                    0.1,                0.00409,                0.00209,                 2.1081,                 108.26,                 1.4305,             0.00068267,             0.00068267,             0.00068267
                      7,                  1.609,                  2.544,                 1.3227,                0.00038,                    0.1,                 0.0002,                  2e-05,                 1.7162,                 250.27,                 1.2634,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.5842,                 1.8212,                 1.2519,                0.01654,                    0.3,                0.01308,                0.00733,                 1.6286,                 77.667,                 1.1952,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.5901,                 1.9853,                 1.3307,                0.02079,                    0.8,                0.02052,                0.01093,                 1.5715,                 336.05,                 1.2645,               0.001018,               0.001018,               0.001018
                     10,                 1.4588,                  1.503,                 1.2552,                0.01952,                    0.8,                0.01798,                0.00933,                 1.4867,                 286.14,                 1.2257,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.5434,                 1.3882,                 1.2918,                0.02234,                    0.8,                0.02175,                0.01257,                 1.5273,                 124.14,                 1.2065,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.4695,                 1.4507,                 1.2678,                0.09325,                    0.7,                0.09591,                0.04323,                 1.5838,                 23.823,                 1.3633,              0.0013427,              0.0013427,              0.0013427
                     13,                  1.556,                 1.4293,                 1.3204,                0.03295,                    0.7,                0.03405,                0.01565,                 1.8629,                 84.931,                 1.4516,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.6838,                 1.5435,                 1.3035,                0.31121,                    0.6,                0.45044,                0.26182,                 1.4382,                 3.6791,                 1.1665,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.6148,                 1.6167,                 1.4008,                0.41135,                    0.5,                0.36415,                0.19264,                 1.6995,                 2.2521,                 1.3338,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.5014,                 1.9755,                 1.3766,                 0.2967,                    0.6,                0.41858,                0.25468,                 1.7745,                 2.5887,                 1.6116,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.5324,                 1.6704,                 1.3872,                0.49703,                    0.9,                0.64015,                0.32112,                 1.5045,                 3.1066,                 1.3373,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.5517,                 1.7355,                 1.3685,                 0.2219,                    0.9,                0.36716,                0.20675,                 1.7236,                 3.1197,                 1.3046,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.5777,                 1.6332,                 1.3003,                 0.5514,                    0.7,                0.67059,                 0.3071,                 1.7982,                 1.7317,                 1.2519,              0.0018317,              0.0018317,              0.0018317
