                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1019,                  4.904,                 1.7434,                0.00074,                    0.2,                0.00045,                  7e-05,                 1.9995,                 5.2425,                 2.0996,                 0.0001,                 0.0001,                 0.0001
                      2,                  2.032,                  5.099,                 1.6522,                0.00111,                    0.3,                0.00075,                0.00024,                 1.7679,                 5.0963,                  1.984,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.9351,                   4.45,                 1.5116,                0.00111,                    0.3,                0.00085,                0.00031,                 1.8515,                 5.0831,                 1.9034,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.8073,                 3.6374,                 1.3531,                0.00148,                    0.4,                0.02069,                0.00288,                 1.6407,                 4.9136,                 1.5266,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.6766,                 3.1997,                 1.3773,                0.00296,                    0.8,                0.09857,                 0.0442,                 1.6072,                 4.7014,                 1.3194,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.6433,                 2.6673,                 1.3248,                0.00296,                    0.8,                0.13222,                0.03344,                 1.5747,                 4.5152,                 1.2287,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.6164,                 2.7625,                 1.3133,                 0.0037,                      1,                0.08242,                0.02256,                 1.9693,                 5.1632,                 1.2932,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.5455,                 2.3682,                 1.2173,                 0.0037,                      1,                0.05412,                0.01704,                  1.645,                   4.57,                 1.2595,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.5196,                 2.3523,                  1.339,                0.00259,                    0.7,                0.00325,                0.00183,                 1.6093,                 4.5492,                 1.3373,               0.001018,               0.001018,               0.001018
                     10,                 1.5795,                 2.4493,                 1.2948,                0.00296,                    0.8,                0.01654,                 0.0043,                 1.6799,                 4.4334,                 1.3944,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.5794,                  2.301,                 1.3339,                0.00333,                    0.9,                0.29973,                 0.1876,                 1.9378,                 4.0305,                 1.4938,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5097,                 2.2423,                 1.2525,                0.00333,                    0.9,                0.31898,                0.14372,                 2.0204,                 3.8874,                  1.434,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.3808,                 2.1088,                 1.2586,                0.00296,                    0.8,                0.17298,                0.10705,                 2.1034,                 3.6217,                  1.655,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.5902,                 2.1427,                 1.3813,                0.00333,                    0.9,                0.30669,                0.16257,                 2.0198,                 3.5659,                 1.6432,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.5682,                 2.2076,                  1.347,                0.00296,                    0.8,                0.14785,                0.07218,                 2.4006,                 3.6853,                 1.8568,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.4334,                 1.9259,                  1.252,                0.50766,                    0.2,                0.35149,                0.15653,                 2.1863,                 3.1986,                   1.57,              0.0017589,              0.0017589,              0.0017589
                     17,                  1.596,                 2.0842,                 1.3585,                0.22087,                    0.4,                0.16172,                0.09575,                 1.9658,                 3.1957,                 1.4701,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.5255,                 1.8899,                 1.2961,                0.39282,                0.19521,                0.19042,                0.07477,                 1.7479,                 3.9119,                 1.5478,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.4986,                 1.8796,                 1.3055,                0.46582,                    0.5,                0.35866,                0.15321,                 1.6219,                 3.1639,                 1.4644,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.5113,                  1.904,                 1.3386,                0.95928,                    0.3,                0.40129,                0.16057,                 1.7001,                  3.375,                 1.6346,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.4311,                  1.699,                 1.3074,                0.92631,                    0.3,                0.36423,                0.16468,                 1.8073,                 2.5735,                 1.7058,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.4461,                 1.6628,                 1.2351,                0.54725,                    0.6,                0.38949,                0.18674,                 1.8409,                 2.3485,                 1.5248,               0.001802,               0.001802,               0.001802
                     23,                 1.5228,                 1.7413,                 1.2102,                0.66596,                0.39894,                0.32595,                0.14534,                 1.9065,                 2.6037,                 1.5682,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.5248,                  1.718,                 1.2909,                0.55803,                    0.3,                0.28351,                0.13218,                 2.1679,                 2.5007,                 1.8761,              0.0017822,              0.0017822,              0.0017822
                     25,                  1.468,                 1.9417,                 1.3537,                0.76796,                0.33592,                0.51732,                0.27654,                 1.8378,                 2.2896,                 1.5443,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.4683,                 1.6138,                 1.2367,                0.56573,                0.65352,                0.57718,                0.30751,                  1.576,                  1.948,                 1.5275,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4332,                  1.554,                 1.1961,                0.91741,                    0.6,                0.71035,                0.37253,                  1.665,                 1.8074,                 1.5443,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.5204,                 1.6155,                 1.2995,                0.82681,                    0.5,                0.58547,                0.35292,                  1.453,                 1.9311,                 1.5324,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.4982,                 1.5956,                  1.303,                0.63979,                    0.6,                0.58025,                 0.3277,                 1.3535,                 1.9524,                 1.3601,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.6066,                 1.6311,                 1.3737,                0.39818,                0.79424,                 0.3998,                 0.2496,                 1.5397,                 2.2665,                 1.3758,              0.0017228,              0.0017228,              0.0017228
                     31,                  1.498,                 1.4039,                 1.2938,                0.58393,                    0.6,                0.48629,                0.27953,                 1.5036,                  2.194,                 1.3086,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.3799,                 1.4195,                  1.238,                0.59699,                    0.6,                0.63167,                0.38409,                 1.4497,                 1.7586,                 1.2457,               0.001703,               0.001703,               0.001703
                     33,                 1.3611,                 1.4697,                 1.2411,                0.99274,                    0.6,                0.70249,                0.44707,                  1.526,                 1.6458,                 1.3289,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.4871,                 1.4821,                 1.3415,                      1,                 0.5925,                0.68198,                0.40929,                  1.528,                 1.7762,                 1.3332,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.3177,                 1.5136,                 1.1964,                0.71693,                0.50741,                0.66252,                0.41041,                 1.5752,                 1.9432,                  1.362,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.4087,                 1.2981,                 1.2409,                0.66361,                0.39541,                0.43794,                0.23204,                 1.6164,                 2.0888,                 1.3624,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.3418,                 1.4566,                 1.2287,                 0.6288,                    0.4,                0.44363,                0.23895,                 1.7998,                 2.3538,                 1.4783,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.4025,                 1.4236,                 1.2705,                0.60803,                    0.4,                0.47548,                0.30701,                 1.5686,                  2.138,                 1.4331,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.3998,                  1.459,                 1.2425,                0.61741,                    0.7,                0.63989,                 0.3824,                 1.4876,                 1.7571,                 1.3699,              0.0016337,              0.0016337,              0.0016337
                     40,                  1.389,                 1.3299,                 1.2467,                0.74684,                    0.4,                0.46546,                0.22599,                 1.8348,                 2.5898,                 1.5477,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.4578,                 1.4011,                 1.2067,                0.77631,                    0.4,                0.44585,                 0.1924,                 1.8498,                 2.4387,                 1.6336,              0.0016139,              0.0016139,              0.0016139
                     42,                  1.431,                  1.334,                  1.195,                 0.5267,                    0.5,                0.45468,                0.19745,                 1.8805,                 2.4003,                 1.5936,               0.001604,               0.001604,               0.001604
                     43,                 1.3256,                 1.2532,                 1.1845,                0.54889,                    0.5,                0.44293,                0.18645,                 1.9139,                 2.2259,                 1.6238,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.2308,                  1.122,                 1.1624,                0.71336,                    0.5,                0.56742,                0.31983,                 1.6048,                 1.9233,                 1.3778,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.3167,                  1.181,                 1.1658,                0.82315,                0.46945,                0.57789,                0.33666,                  1.608,                 2.0617,                 1.3613,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.3188,                 1.2182,                 1.1834,                0.77749,                    0.7,                0.70586,                0.40042,                 1.5379,                 1.5615,                 1.2627,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.3157,                 1.2318,                 1.2202,                0.71261,                    0.7,                0.74305,                0.43614,                 1.4751,                 1.3863,                 1.2906,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.3626,                 1.2375,                  1.241,                0.84434,                    0.7,                0.74121,                0.37156,                 1.6504,                 1.4894,                 1.4329,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.4084,                  1.416,                 1.2367,                0.85402,                    0.7,                0.73192,                0.35968,                 1.6512,                 1.3791,                 1.4748,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.4362,                 1.2378,                 1.2454,                 0.6226,                    0.5,                0.57564,                0.29815,                 1.7297,                 1.7517,                 1.6282,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.2654,                 1.1777,                 1.1617,                0.80923,                    0.5,                0.55463,                0.30012,                 1.6872,                 1.8689,                 1.5133,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.2865,                  1.168,                 1.2189,                0.97608,                    0.5,                 0.6644,                0.41187,                 1.4875,                 1.4488,                 1.3681,               0.001505,               0.001505,               0.001505
                     53,                  1.235,                 1.1654,                 1.1218,                      1,                0.49719,                0.62735,                0.39208,                 1.5112,                 1.4964,                 1.2808,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.3604,                 1.1053,                 1.1756,                0.52577,                    0.5,                 0.5579,                0.29045,                 1.7213,                 1.6828,                 1.3944,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.3989,                 1.2045,                 1.2208,                 0.5948,                    0.5,                0.53714,                0.30096,                 1.7502,                 1.9047,                 1.4013,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.4096,                 1.2269,                  1.193,                      1,                0.59957,                0.69688,                0.40861,                 1.5136,                 1.5676,                 1.3314,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.3148,                 1.1091,                 1.1618,                0.68292,                0.64876,                0.70092,                0.44642,                 1.5524,                 1.4749,                 1.2746,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.2859,                 1.1146,                 1.2225,                0.99452,                    0.6,                0.67787,                0.42029,                  1.495,                 1.5489,                 1.3252,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.2094,                 1.1269,                 1.1807,                0.75965,                0.63473,                 0.6861,                0.30592,                 1.7283,                 1.8196,                 1.4551,              0.0014357,              0.0014357,              0.0014357
