                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2882,                 10.003,                 1.7772,                0.00124,                    0.1,                0.00449,                0.00408,                 1.3773,                 5.8088,                 1.6918,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.1439,                 11.848,                 1.6945,                0.01229,                    0.1,                0.00437,                0.00365,                 1.2697,                 6.2192,                 1.5326,             0.00021891,             0.00021891,             0.00021891
                      3,                 2.0797,                 6.6832,                 1.6449,                0.00491,                    0.1,                0.00365,                0.00279,                 1.1782,                 8.4018,                 1.2298,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.6834,                 3.5077,                 1.3055,                0.01258,                    0.1,                0.00494,                0.00384,                 1.0052,                 17.535,                 1.0614,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.5724,                 2.8332,                 1.3299,                 0.0486,                    0.2,                0.03556,                0.02381,                 1.1975,                 5.1785,                 1.0788,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.5849,                 2.2141,                 1.3868,                0.90151,                    0.1,                0.14947,                0.11062,                 1.4408,                 4.7951,                 1.2283,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.4913,                 2.0479,                  1.322,                0.07297,                    0.2,                0.04572,                0.03296,                 1.3946,                 10.409,                 1.4022,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.6629,                 1.9679,                 1.4259,                0.80294,                    0.2,                 0.2835,                 0.1996,                 1.5462,                 4.0959,                 1.5176,             0.00090743,             0.00090743,             0.00090743
                      9,                  1.671,                 1.8893,                  1.417,                 0.0278,                    0.3,                0.03678,                0.02685,                 1.8182,                 17.157,                 1.9462,               0.001018,               0.001018,               0.001018
                     10,                 1.5474,                 1.5668,                 1.2914,                0.43174,                    0.4,                0.33202,                0.20035,                 1.7868,                 3.1137,                 1.8983,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.5539,                  1.592,                  1.215,                0.01341,                    0.3,                0.00603,                0.00276,                 2.2245,                 24.086,                 3.1513,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5257,                 1.5058,                 1.2652,                0.03564,                    0.3,                0.01953,                0.01167,                 1.9826,                 20.975,                 3.6734,              0.0013427,              0.0013427,              0.0013427
