                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2817,                 10.545,                 1.7564,                      0,                      0,                      0,                      0,                 2.0794,                 7.2438,                 2.1746,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.1622,                 10.513,                 1.8103,                0.00033,                    0.1,                0.00019,                0.00012,                  2.084,                 7.7761,                 2.0836,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.9089,                 6.1993,                  1.513,                  0.002,                    0.6,                0.00203,                0.00086,                 2.1323,                 9.8334,                 2.0416,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.7841,                 3.4043,                 1.3698,                0.00584,                    0.1,                0.00139,                0.00041,                 2.2286,                 12.736,                 1.7953,             0.00045317,             0.00045317,             0.00045317
                      5,                  1.726,                 2.8642,                 1.3126,                0.00284,                    0.1,                0.00171,                0.00069,                 1.9704,                 15.955,                 1.7293,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.6353,                 2.3909,                 1.2707,                0.04738,                    0.1,                0.01129,                0.00706,                 1.9176,                 5.2453,                  1.757,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.6271,                 2.0156,                  1.335,                0.04518,                    0.3,                0.02617,                0.01222,                 1.8344,                 9.7487,                 1.6178,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.6182,                 1.6219,                 1.2788,                0.03432,                    0.3,                 0.0317,                0.01282,                 2.0303,                  29.38,                 1.5324,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.7874,                 2.1672,                 1.4316,                 0.0373,                    0.7,                0.02707,                0.01226,                 2.5117,                  31.68,                 2.5905,               0.001018,               0.001018,               0.001018
                     10,                 1.4802,                 1.6699,                 1.3346,                0.55438,                0.37613,                0.32584,                0.16137,                 1.9749,                 3.4431,                 1.9382,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.4672,                 1.7599,                 1.2022,                0.42042,                    0.3,                0.23632,                0.09811,                      2,                 14.176,                 1.9165,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5051,                 1.3971,                   1.24,                0.78252,                    0.4,                  0.533,                 0.1325,                 1.8191,                 3.3031,                 1.6312,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.3879,                 1.4423,                  1.205,                0.96321,                    0.2,                0.20872,                 0.0695,                 1.8217,                 3.6415,                  2.092,              0.0014485,              0.0014485,              0.0014485
                     14,                  1.473,                 1.4344,                 1.2887,                0.00685,                    0.1,                0.03478,                0.02087,                 3.0488,                 4.2948,                 2.8568,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.4924,                  1.469,                 1.4946,                0.91042,                    0.1,                0.10076,                0.07053,                 2.9762,                 4.3099,                  2.576,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.4806,                 1.5513,                 1.3526,                0.25096,                0.33675,                0.20118,                0.08784,                  1.834,                 3.0716,                 1.8069,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.4549,                 1.4452,                 1.2605,                0.44008,                    0.2,                0.24375,                0.16177,                 1.7326,                 3.9469,                 1.6329,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.5102,                 1.3981,                 1.3038,                0.84984,                    0.1,                0.12699,                0.07315,                 1.6787,                 4.0512,                 1.4991,              0.0018416,              0.0018416,              0.0018416
                     19,                  1.522,                  1.328,                 1.2778,                0.21702,                    0.2,                0.10667,                0.05493,                 2.1799,                 3.6112,                 2.0243,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.5304,                 1.2395,                 1.3157,                0.88481,                    0.1,                  0.096,                0.04776,                 3.0078,                 4.7425,                 4.1672,              0.0018218,              0.0018218,              0.0018218
                     21,                  1.521,                 1.2167,                 1.2993,                0.12165,                    0.1,                0.02025,                0.00867,                  2.955,                 4.8229,                 3.5792,              0.0018119,              0.0018119,              0.0018119
                     22,                  1.566,                 1.2437,                 1.3117,                0.12165,                    0.1,                0.02025,                0.00867,                 3.1442,                 6.0274,                 4.7187,               0.001802,               0.001802,               0.001802
                     23,                 1.4691,                 1.2754,                 1.2264,                0.40883,                    0.3,                0.24515,                0.14271,                 2.0224,                 2.5476,                 1.8765,              0.0017921,              0.0017921,              0.0017921
                     24,                  1.547,                 1.2775,                 1.3487,                0.66038,                0.39057,                0.41353,                0.32333,                 1.3991,                 2.1405,                 1.4192,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.3704,                 1.2185,                 1.2286,                0.50438,                    0.4,                0.44917,                 0.2981,                 1.4484,                 2.1112,                 1.4178,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.4028,                 1.1912,                 1.2533,                0.67911,                    0.8,                0.66794,                0.38097,                 1.6887,                 1.6937,                 1.8041,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4392,                 1.1329,                 1.2316,                0.59276,                    0.8,                0.73961,                0.46738,                 1.4307,                 1.2905,                 1.5251,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.4311,                 1.1914,                 1.1715,                0.15085,                0.25023,                0.14875,                0.07236,                 2.6891,                 2.8173,                 2.5643,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.4563,                 1.1947,                  1.234,                0.89524,                    0.1,                0.10843,                0.08023,                 2.1103,                 4.0509,                 2.0747,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.5198,                 1.2126,                  1.204,                      1,                0.59899,                 0.8012,                0.45515,                 1.4935,                 1.3286,                  1.383,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.3326,                 1.1012,                  1.193,                0.86206,                0.62752,                0.75191,                0.43932,                 1.4853,                 1.6068,                 1.5867,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.4242,                 1.1169,                 1.2844,                0.77779,                    0.6,                0.64183,                0.37978,                 1.7357,                 1.4512,                 1.7301,               0.001703,               0.001703,               0.001703
                     33,                 1.3946,                 1.0684,                  1.254,                0.53128,                 0.4563,                0.43247,                0.26136,                 1.7525,                 2.0203,                 1.5202,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.4272,                 1.0729,                  1.244,                      1,                0.38955,                0.42065,                0.17601,                 1.8324,                 2.5899,                 1.6248,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.4888,                 1.2054,                 1.3354,                 0.7178,                    0.3,                 0.2979,                0.10912,                 2.0852,                 3.6231,                 1.9348,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.4726,                 1.1746,                 1.2841,                0.40407,                    0.6,                0.37536,                0.18911,                 2.0007,                  2.369,                 1.8341,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.4146,                 1.0891,                 1.2307,                0.71158,                    0.8,                0.68736,                0.36014,                 1.7262,                 1.3551,                 1.5803,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.2815,                 1.0462,                 1.1491,                0.87158,                    0.8,                0.79125,                0.44421,                 1.4655,                  1.071,                 1.5123,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.3472,                0.99477,                 1.1273,                0.96755,                    0.6,                0.75178,                0.46496,                 1.5516,                 1.1122,                 1.7029,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.3743,                0.95997,                 1.2168,                0.83024,                0.49071,                0.55657,                0.29874,                 1.8343,                 1.9401,                 1.4561,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.2629,                  1.007,                 1.1565,                      1,                0.58812,                  0.608,                0.31137,                 1.9299,                 2.0055,                 1.6654,              0.0016139,              0.0016139,              0.0016139
