threshold,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness
0.001,0.8985206786782435,0.7501939010324195,0.8160283446184406,0.5328746025474844,0.5611899767545803
0.1,0.8985206786782435,0.7501939010324195,0.8115568245461027,0.553489861803871,0.5792965580780942
0.2,0.9059812930345646,0.7419162012420586,0.8206591416361416,0.5642200707570209,0.589863977844933
0.3,0.9008239784466614,0.7421616699963056,0.8249679305555556,0.5710091972312409,0.5964050705636723
0.4,0.9047131496792167,0.7241414141414142,0.8244560416666665,0.576051810515873,0.6008922336309523
0.5,0.93742717404005,0.6741414141414142,0.8080141666666666,0.5770467132936508,0.6001434586309524
0.6,0.9675,0.6168686868686868,0.7888768749999999,0.5749395882936508,0.5963333169642857
0.7,0.9657142857142859,0.4675757575757576,0.7142328571428573,0.5324267321428573,0.5506073446428573
0.8,0.7583333333333333,0.2619191919191919,0.5091591666666667,0.38797372619047615,0.40009227023809524
0.9,0.3,0.06222222222222222,0.18111000000000002,0.1388715,0.14309535
