                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1231,                 8.5288,                 1.6946,                0.00074,                    0.2,                0.00051,                0.00021,                 2.3417,                 6.7222,                 2.1123,                 0.0001,                 0.0001,                 0.0001
                      2,                  2.007,                 9.8534,                 1.6327,                0.00053,                    0.1,                0.00024,                  9e-05,                 2.2313,                  46.49,                 1.9992,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.8253,                 5.7304,                  1.385,                0.00111,                    0.3,                0.00086,                0.00046,                 2.0174,                 15.577,                 1.9093,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.7051,                 3.1884,                 1.3179,                0.04064,                    0.2,                0.01236,                0.00734,                 2.0489,                 14.129,                 1.8016,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.6381,                 2.4896,                 1.3263,                0.48035,                    0.2,                 0.1302,                0.08806,                 2.3241,                 5.3348,                 1.8859,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.6886,                  2.759,                 1.3259,                0.06775,                    0.2,                0.02851,                0.01415,                 2.0581,                 7.1614,                 1.6161,             0.00068267,             0.00068267,             0.00068267
                      7,                  1.531,                 1.9925,                 1.2568,                0.28546,                    0.5,                0.28431,                0.17817,                 1.7013,                 2.5484,                 1.4338,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.5537,                  1.983,                  1.203,                0.23885,                    0.2,                0.21335,                0.11415,                 1.6801,                 8.1591,                   1.55,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.5156,                 1.7933,                 1.2806,                0.22434,                0.28996,                 0.0968,                0.04993,                   2.27,                 6.0415,                  6.158,               0.001018,               0.001018,               0.001018
                     10,                  1.638,                 1.8248,                 1.2691,                 0.1368,                    0.1,                0.02004,                0.01363,                 3.0269,                 10.054,                 3.3051,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.5793,                 1.7657,                 1.3716,                0.28241,                    0.1,                0.03483,                0.01539,                 2.7231,                   5.42,                 2.3012,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5705,                 1.6687,                 1.2833,                0.00141,                    0.2,                0.00104,                0.00021,                 3.4097,                 7.4977,                 3.1975,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.5949,                  1.347,                 1.3757,                0.13796,                    0.1,                 0.0203,                0.00845,                 3.1492,                 4.2599,                 2.9651,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.5885,                 1.4266,                 1.3361,                0.82742,                    0.1,                0.09768,                0.06758,                 2.6143,                 3.6741,                 2.2385,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.6728,                  1.815,                 1.4541,                0.50581,                    0.4,                0.30127,                0.16323,                 1.8135,                 2.9195,                 1.7982,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.5402,                 1.5607,                 1.4182,                0.69331,                    0.4,                0.41053,                0.17158,                 2.0353,                 3.6278,                  2.008,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.5794,                 1.4861,                 1.3908,                0.58078,                    0.4,                 0.3698,                0.23636,                 1.6567,                 3.2945,                 1.5176,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.5966,                  1.493,                 1.2791,                0.14655,                    0.4,                0.09402,                0.04258,                 2.0551,                 5.6588,                 2.2593,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.4551,                 1.4688,                 1.2227,                0.42071,                    0.2,                0.09781,                0.06108,                  2.491,                 4.6616,                 4.2516,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.4916,                 1.4431,                 1.2646,                0.39576,                    0.1,                0.11784,                0.03913,                 2.4377,                 3.4572,                  5.918,              0.0018218,              0.0018218,              0.0018218
                     21,                  1.421,                 1.2226,                 1.2742,                0.04924,                    0.1,                0.01158,                0.00714,                 2.0512,                 4.9291,                 5.5363,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.4289,                 1.2188,                 1.2275,                0.00114,                    0.1,                0.00151,                0.00106,                 3.0346,                 6.5951,                 12.898,               0.001802,               0.001802,               0.001802
                     23,                 1.3582,                 1.2353,                 1.1723,                0.03517,                    0.1,                0.00742,                 0.0047,                 2.9658,                 4.5318,                 5.6069,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.4455,                 1.1043,                 1.3195,                0.23233,                    0.2,                0.08036,                0.02819,                  2.751,                 4.0326,                 2.3678,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.5142,                 1.2635,                 1.3973,                0.44133,                    0.4,                0.21609,                0.10819,                 2.1423,                 2.3113,                 1.9829,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.3934,                 1.0878,                 1.1997,                0.65333,                    0.3,                0.28082,                0.14655,                 2.2839,                 2.5859,                 1.8423,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4756,                 1.2374,                 1.2157,                0.48394,                    0.3,                 0.2534,                0.13209,                 2.1597,                 2.9134,                 1.8261,              0.0017525,              0.0017525,              0.0017525
