                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0192,                 4.8384,                 1.7853,                0.00033,                    0.1,                0.00018,                  6e-05,                 2.2251,                 6.0215,                 2.0468,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9214,                 5.2795,                  1.615,                0.00067,                    0.2,                0.00045,                0.00012,                  2.037,                 5.5923,                 2.0754,             0.00021891,             0.00021891,             0.00021891
                      3,                  1.891,                 4.4096,                 1.5059,                0.00067,                    0.2,                0.00079,                0.00026,                 1.9583,                 5.4628,                 1.8367,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.4589,                 3.2033,                 1.2376,                0.00133,                    0.4,                0.00316,                0.00107,                 1.7423,                 5.1336,                 1.6166,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.5062,                 2.9129,                 1.3117,                0.00233,                    0.7,                0.09732,                0.01033,                 2.1618,                   5.21,                 1.7121,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.5051,                 2.6482,                 1.2936,                0.00267,                    0.8,                0.00465,                0.00122,                 2.3097,                 5.5984,                 1.6395,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.4408,                 2.2444,                 1.1992,                0.00267,                    0.8,                0.00388,                0.00139,                 1.8402,                  5.247,                  1.409,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.7032,                 2.4186,                 1.3363,                0.00133,                    0.4,                0.00171,                0.00074,                  1.905,                 5.3742,                 1.7089,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.6755,                 2.5626,                 1.3248,                0.00233,                    0.7,                0.00284,                0.00125,                 1.9505,                 4.8225,                 1.4501,               0.001018,               0.001018,               0.001018
                     10,                 1.4947,                 2.1533,                 1.2574,                0.00267,                    0.8,                0.03447,                0.02672,                 1.8432,                 4.4775,                 1.2874,              0.0011274,              0.0011274,              0.0011274
                     11,                  1.505,                 2.0962,                 1.2176,                0.00233,                    0.7,                0.00327,                0.00125,                  1.936,                  4.393,                 1.4597,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.4641,                 2.0602,                  1.219,                0.00267,                    0.8,                0.09975,                0.03992,                 1.9139,                 4.1463,                 1.4718,              0.0013427,              0.0013427,              0.0013427
                     13,                  1.512,                 2.2172,                  1.237,                0.00233,                    0.7,                0.10217,                0.05078,                 1.8666,                 4.0356,                 1.3711,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.4393,                 2.1512,                  1.265,                  0.003,                    0.9,                0.23425,                0.10772,                 2.0699,                 3.8998,                 1.5484,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.4743,                 2.0959,                 1.2605,                0.00333,                      1,                0.22249,                0.14342,                 1.8178,                 3.8753,                  1.362,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.6145,                 2.2614,                 1.3164,                0.44896,                    0.4,                0.45438,                0.23824,                  1.849,                 2.6987,                 1.4132,              0.0017589,              0.0017589,              0.0017589
                     17,                  1.621,                 1.9588,                 1.3854,                 0.5579,                    0.4,                0.49606,                0.20895,                 1.8533,                  2.346,                 1.5468,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.4684,                 1.9767,                 1.3179,                0.24327,                0.22706,                0.25027,                0.16601,                 1.9432,                 3.2112,                 1.6175,              0.0018416,              0.0018416,              0.0018416
