                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1707,                 5.0579,                 1.6493,                0.00074,                    0.2,                0.00056,                0.00037,                 1.9594,                 5.2863,                 2.1494,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.1186,                 5.1801,                 1.7817,                0.00074,                    0.2,                0.00059,                0.00036,                 2.0569,                 5.3412,                 2.1561,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.9166,                 4.4973,                 1.4768,                0.00185,                    0.5,                0.00222,                0.00123,                 2.1096,                  5.206,                 1.7685,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.6648,                 3.6322,                 1.2927,                0.00259,                    0.7,                0.01106,                0.00675,                    1.7,                 4.7084,                 1.5072,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.5804,                  3.001,                 1.3255,                0.00222,                    0.6,                0.01184,                0.00469,                 1.8138,                 4.5693,                 1.3162,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.5563,                 2.7905,                 1.3159,                0.00222,                    0.6,                0.01136,                 0.0054,                 1.5995,                 4.7456,                 1.3049,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.5549,                 2.5359,                 1.3013,                0.00185,                    0.5,                0.00438,                0.00252,                 1.5632,                  4.837,                 1.3928,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.4597,                 2.0536,                 1.2121,                0.00222,                    0.6,                0.00196,                0.00124,                 1.5898,                 4.5408,                 1.3824,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.5838,                 2.5635,                 1.3344,                0.00222,                    0.6,                0.02174,                  0.016,                 2.2903,                 4.6517,                 1.8507,               0.001018,               0.001018,               0.001018
                     10,                 1.4459,                 2.0827,                 1.2065,                0.00222,                    0.6,                0.02581,                0.02223,                 1.9868,                 4.2643,                 1.9169,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.5013,                 2.1252,                 1.3053,                 0.4079,                    0.1,                0.11474,                0.09109,                 2.2624,                 4.0366,                 2.1951,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.4905,                 2.1637,                 1.2641,                0.00148,                    0.4,                0.00161,                0.00111,                 2.1172,                 4.7328,                 4.8387,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.5362,                 2.2553,                 1.2426,                0.00148,                    0.4,                0.00197,                 0.0011,                 1.9463,                  4.501,                 3.1922,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.4898,                 2.0067,                 1.2271,                0.65171,                    0.3,                0.23409,                0.13585,                 1.9443,                  3.596,                 2.0735,              0.0015532,              0.0015532,              0.0015532
                     15,                  1.346,                 1.7491,                 1.1628,                0.63868,                0.18321,                0.14345,                0.07085,                 2.1361,                 3.8005,                 2.3009,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.4377,                 1.8517,                 1.2914,                0.96628,                    0.2,                0.19975,                0.10767,                 2.6661,                 4.1578,                  2.705,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.6673,                 2.3363,                 1.4815,                  0.475,                    0.2,                 0.1687,                0.03712,                  2.487,                 4.0089,                 2.1211,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.5329,                 2.1703,                 1.3639,                0.44725,                    0.2,                0.13814,                0.02829,                 2.8415,                  3.958,                 2.2971,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.5318,                 1.9985,                 1.3498,                0.15253,                    0.1,                0.09945,                0.03233,                 2.4804,                 3.4386,                 2.0702,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.6442,                 2.2113,                 1.3545,                 0.1932,                    0.2,                0.12569,                0.07625,                 2.1694,                 3.3097,                 1.6849,              0.0018218,              0.0018218,              0.0018218
                     21,                  1.536,                 1.7996,                 1.3038,                0.19622,                    0.3,                0.11065,                0.06824,                 2.1315,                 3.3219,                 1.8242,              0.0018119,              0.0018119,              0.0018119
                     22,                  1.518,                 1.8247,                 1.3069,                0.35689,                 0.3894,                0.15393,                0.05306,                 2.0978,                 3.2995,                 1.7614,               0.001802,               0.001802,               0.001802
                     23,                 1.6205,                 1.8512,                 1.2784,                0.24446,                    0.2,                 0.1733,                0.08527,                 1.9544,                 3.1287,                 1.6892,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.5507,                 1.7197,                  1.284,                0.21924,                0.25488,                 0.1278,                0.06043,                 2.3186,                 3.0364,                 2.0883,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.5584,                 2.0023,                 1.3642,                0.48058,                    0.1,                0.12466,                0.06372,                 2.2032,                 2.9743,                 1.8817,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.4772,                 1.6891,                 1.2548,                0.06288,                    0.1,                0.03826,                0.00518,                 2.9894,                 4.7911,                 2.3444,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4184,                 1.6881,                 1.2376,                0.09626,                    0.4,                0.07816,                0.02112,                 2.7199,                 3.8872,                 2.1712,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.3908,                 1.4348,                 1.2168,                0.36697,                0.40629,                0.32845,                 0.1528,                 2.0797,                 2.7326,                 1.6865,              0.0017426,              0.0017426,              0.0017426
