                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2032,                 9.5985,                 1.7323,                0.00037,                0.11111,                0.00023,                0.00014,                 2.3872,                 6.7031,                 1.8531,                 0.0001,                 0.0001,                 0.0001
                      2,                  2.088,                 9.0863,                 1.7029,                0.00037,                0.11111,                0.00023,                0.00014,                 2.1001,                 71.923,                 1.6218,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.8305,                 5.3125,                 1.5182,                0.13839,                0.11111,                0.11622,                0.08099,                 2.2891,                 25.952,                 1.9249,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.5779,                 2.7697,                 1.2975,                0.03654,                0.11111,                0.02455,                0.01262,                 2.2111,                 19.672,                  1.653,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.4831,                 2.2321,                 1.2295,                0.28165,                0.11111,                0.06675,                0.03311,                 2.1052,                 9.7648,                 1.5512,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.4946,                 2.1794,                 1.2711,                0.20064,                0.44444,                0.12371,                0.04084,                 2.3032,                 6.5353,                 1.6661,             0.00068267,             0.00068267,             0.00068267
                      7,                   1.49,                 2.1048,                 1.2661,                 0.4263,                0.44444,                0.21984,                0.07316,                 2.2845,                 5.2857,                 1.7204,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.4616,                 1.7803,                 1.2147,                0.49373,                0.44444,                0.34542,                0.13231,                 2.1803,                  3.258,                 1.8038,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.5727,                 1.8825,                 1.3374,                0.46915,                0.44444,                0.33355,                0.12692,                 2.2349,                  4.968,                 2.1281,               0.001018,               0.001018,               0.001018
                     10,                  1.428,                 1.6397,                 1.2499,                0.37068,                0.44444,                0.35041,                0.16652,                 2.0131,                 3.2978,                 1.6899,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.4337,                 1.6003,                  1.205,                0.48572,                0.55556,                0.41136,                 0.1961,                 2.3209,                 7.4176,                 2.1506,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5977,                 1.6582,                 1.2679,                0.41083,                0.33333,                0.21987,                0.12807,                 2.1601,                 3.4338,                 2.4426,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.4636,                  1.415,                  1.215,                0.48839,                0.11111,                0.09487,                0.04404,                 2.8978,                 4.8243,                 4.0338,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.4224,                 1.4263,                 1.2243,                 0.1212,                0.11111,                0.03062,                0.00974,                  2.445,                 7.2857,                 3.2114,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.4776,                 1.5109,                 1.2365,                0.29867,                0.22222,                0.15309,                 0.0558,                 2.4894,                 4.4082,                 2.8944,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.4478,                 1.3535,                 1.2861,                      1,                0.21688,                 0.2289,                0.07459,                 3.3154,                 3.9214,                 4.2993,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.5545,                 1.5851,                 1.4134,                0.58243,                0.31381,                0.31632,                0.13225,                 2.5446,                 3.6175,                 2.9471,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.4722,                 1.5547,                 1.2611,                0.43855,                0.33333,                0.20862,                0.05776,                 2.6529,                  4.255,                 2.1291,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.6203,                 1.3532,                 1.4089,                0.58489,                0.33333,                0.25611,                0.08324,                 2.6096,                 2.7397,                 2.3571,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.5382,                 1.5525,                 1.3348,                0.49248,                0.44444,                0.44299,                0.15089,                 2.1702,                  2.901,                 1.7813,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.4102,                 1.2608,                 1.2437,                0.92815,                0.22222,                0.29061,                0.09244,                 2.7396,                 2.7542,                 2.4525,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.3946,                 1.2212,                 1.2176,                0.00111,                0.22222,                0.00078,                  8e-05,                 2.8081,                 22.262,                 3.0184,               0.001802,               0.001802,               0.001802
                     23,                  1.436,                 1.2685,                 1.2118,                0.01251,                0.11111,                0.00223,                0.00067,                 2.9442,                 8.5421,                 2.8945,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.5251,                 1.2837,                 1.3317,                0.01251,                0.11111,                0.00223,                0.00067,                  3.878,                   18.5,                 5.1646,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.4863,                 1.2671,                 1.4157,                0.00236,                0.11111,                0.00162,                 0.0006,                 3.2828,                 6.0796,                 3.8518,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.4126,                 1.1577,                 1.2415,                0.26597,                0.11111,                0.06259,                0.01194,                 3.0825,                 4.0719,                 2.3609,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.3624,                 1.0629,                 1.1885,                0.70563,                0.53536,                  0.528,                0.21411,                 2.3418,                  1.719,                 2.0852,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.4718,                  1.132,                 1.2375,                0.52578,                0.66667,                0.50451,                0.17929,                 2.1776,                 2.4019,                 1.7352,              0.0017426,              0.0017426,              0.0017426
                     29,                  1.412,                 1.1423,                 1.2314,                0.59677,                0.66667,                0.55456,                0.17466,                 2.5182,                 2.1926,                  2.132,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.3358,                 1.0488,                 1.2045,                0.54645,                0.44444,                0.28409,                0.15037,                 2.4337,                 2.9329,                 1.9547,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.2842,                 1.0739,                 1.1874,                0.63268,                0.44444,                0.35012,                0.16699,                 2.3331,                 2.4602,                 2.0599,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.3295,                 1.0599,                 1.1775,                0.66584,                0.66447,                0.55249,                0.20474,                 2.3305,                 1.8833,                 2.0917,               0.001703,               0.001703,               0.001703
                     33,                 1.3794,                 1.0829,                 1.2221,                0.58575,                0.66667,                0.57341,                 0.2004,                 2.7265,                 1.9795,                 2.5879,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.3047,                 1.0245,                 1.2315,                0.61358,                0.53188,                0.47974,                0.22463,                 2.2381,                 1.9731,                  1.779,              0.0016832,              0.0016832,              0.0016832
                     35,                  1.295,                 1.1238,                 1.1875,                0.69284,                0.55556,                 0.4924,                 0.2353,                 2.0973,                 2.0756,                 1.8168,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.3164,                 1.0581,                 1.1724,                0.62214,                0.55556,                0.41163,                0.18744,                 2.3973,                 2.1015,                 1.9518,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.3658,                 1.2662,                 1.2447,                0.68631,                0.55556,                0.48303,                0.17282,                 2.4987,                 1.8178,                 2.1565,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.4109,                 1.0931,                 1.2061,                0.70344,                0.53024,                0.44292,                0.17087,                 2.5896,                 5.8526,                  2.455,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.2889,                 1.0487,                  1.193,                0.64045,                0.66667,                0.50112,                0.21789,                 2.4605,                 1.7844,                 2.3053,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.3977,                 1.0266,                 1.2239,                0.79836,                0.55556,                0.59039,                0.24942,                 2.4773,                 1.8029,                  2.097,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.3449,                 1.0057,                 1.1864,                 0.8177,                0.55556,                0.51608,                0.18554,                 2.6527,                 1.7795,                 2.3454,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.2857,                0.92788,                 1.1708,                0.70731,                0.55556,                0.40513,                0.14359,                 2.6912,                 1.7995,                 2.0654,               0.001604,               0.001604,               0.001604
                     43,                 1.3086,                0.95582,                 1.1902,                0.62446,                0.44444,                0.39942,                0.17037,                 2.4951,                 1.7848,                 1.9641,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.2631,                 1.0186,                  1.116,                0.69154,                0.55556,                0.43897,                0.20326,                 2.3298,                 1.4224,                 1.7417,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.3045,                0.94766,                 1.2035,                 0.6061,                0.66667,                0.47748,                0.25769,                 2.0434,                 1.9129,                 1.6193,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.4155,                 1.0179,                 1.2475,                0.48255,                0.62401,                0.41022,                0.16047,                 2.4769,                 1.9634,                 2.0555,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.3428,                0.97576,                 1.2483,                0.52384,                0.55556,                0.45061,                0.17816,                 2.2557,                 1.8104,                 1.9154,              0.0015545,              0.0015545,              0.0015545
