                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1398,                 9.2189,                 1.6427,                0.00111,                    0.3,                0.00081,                0.00053,                 2.0196,                 6.0475,                 2.2193,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.1848,                  10.13,                 1.7122,                0.00038,                    0.1,                0.00021,                0.00013,                 2.3718,                 71.654,                 2.1261,             0.00021891,             0.00021891,             0.00021891
                      3,                 2.0391,                  5.588,                 1.6167,                0.00185,                    0.5,                 0.0017,                0.00066,                 2.3402,                 36.782,                 2.2548,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.6303,                 3.4602,                 1.2565,                0.00303,                    0.2,                0.00181,                  0.001,                 2.2643,                 61.518,                 1.9009,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.5092,                 2.6104,                 1.2524,                0.01802,                    0.2,                0.01121,                0.00514,                  1.864,                 33.785,                 1.4482,             0.00056852,             0.00056852,             0.00056852
                      6,                   1.71,                 2.6109,                 1.3836,                0.00319,                    0.2,                0.00258,                0.00101,                 2.2766,                 21.172,                 1.7092,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.4222,                  2.058,                 1.3331,                0.01513,                    0.1,                0.00717,                0.00311,                 2.4451,                  4.151,                 1.7899,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.4114,                 1.8355,                 1.1698,                0.00361,                    0.6,                0.00812,                0.00311,                 2.7474,                 3.7748,                 2.2906,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.7218,                 1.6857,                 1.3842,                0.28446,                    0.5,                0.30474,                0.14986,                 2.1134,                 2.8603,                 1.7006,               0.001018,               0.001018,               0.001018
                     10,                 1.4467,                 1.6462,                 1.2414,                 0.0124,                0.60038,                0.01177,                0.00561,                 1.8465,                 369.94,                 1.6786,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.4586,                  1.679,                 1.2711,                0.63039,                    0.6,                0.47853,                0.28238,                  1.594,                 2.6856,                 1.5639,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5068,                 1.6841,                 1.2982,                0.00918,                    0.5,                 0.0066,                0.00298,                  2.116,                 171.64,                 2.5206,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.4326,                 1.4666,                 1.2467,                 0.4152,                    0.2,                0.15978,                0.10331,                 2.1929,                 6.0806,                 2.2456,              0.0014485,              0.0014485,              0.0014485
                     14,                  1.513,                 1.2995,                 1.2634,                0.92737,                    0.1,                0.10613,                0.07163,                 2.4743,                 6.6137,                 2.7265,              0.0015532,              0.0015532,              0.0015532
                     15,                  1.541,                 1.5659,                 1.3238,                 0.0942,                    0.2,                0.04595,                0.02697,                 2.2862,                 9.9687,                 2.1239,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.4984,                 1.6097,                 1.2885,                0.22176,                    0.2,                0.09815,                0.07253,                 2.0552,                  4.886,                 1.9655,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.5305,                 1.5946,                  1.347,                0.48069,                    0.3,                0.23444,                 0.1539,                 2.2807,                 2.9536,                 2.5328,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.5109,                 1.4522,                 1.2927,                0.30965,                    0.3,                0.15023,                0.08608,                  2.144,                 4.7463,                 2.1273,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.5608,                 1.2494,                 1.3143,                0.25423,                    0.3,                0.11534,                0.06606,                 2.5622,                 6.4758,                 3.7003,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.5995,                 1.5894,                 1.3263,                0.34427,                    0.2,                0.16964,                0.10243,                 2.4247,                 3.6837,                 2.4855,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.6343,                 1.9297,                 1.3196,                0.75732,                    0.5,                0.47635,                0.10277,                 2.6685,                 2.9827,                 3.0892,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.5355,                 1.6906,                 1.2693,                 0.5661,                    0.4,                0.41978,                0.16111,                 2.1184,                 4.9921,                 2.3065,               0.001802,               0.001802,               0.001802
                     23,                 1.6074,                 1.4994,                  1.246,                0.37707,                    0.3,                0.28944,                0.08781,                 2.2092,                 8.7042,                 2.1393,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.5795,                 1.4094,                 1.2429,                0.01737,                    0.2,                0.00794,                0.00248,                 2.8973,                 11.895,                 2.3123,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.5275,                 1.6972,                 1.3482,                0.05927,                    0.4,                0.03641,                0.01136,                 2.8456,                 7.2184,                  2.373,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.5244,                 1.3305,                 1.2661,                0.02727,                    0.5,                0.02011,                 0.0072,                 2.3131,                 16.963,                 1.9367,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4206,                 1.2398,                 1.2275,                0.04948,                    0.5,                 0.0371,                0.01879,                 1.8028,                 13.651,                 1.6998,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.4469,                 1.1948,                 1.2245,                0.04081,                    0.6,                0.02625,                0.01112,                 2.1245,                 10.141,                 1.9408,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.5735,                 1.3188,                 1.3515,                0.05227,                    0.5,                0.03224,                0.01524,                 1.9886,                   10.8,                  1.855,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.4853,                 1.2066,                 1.3448,                0.02432,                    0.3,                0.01169,                0.00485,                  2.138,                 10.872,                 1.7552,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.4994,                 1.1622,                 1.2731,                0.01833,                    0.2,                0.00972,                0.00575,                 2.2137,                   8.63,                 1.7435,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.3648,                 1.1872,                 1.2164,                0.01833,                    0.2,                0.00972,                0.00575,                 3.6005,                 6.3031,                 2.8417,               0.001703,               0.001703,               0.001703
                     33,                 1.4137,                 1.1164,                 1.2869,                0.21597,                    0.1,                0.02895,                0.00879,                 2.9167,                 4.1719,                 2.2761,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.4112,                 1.0754,                 1.2024,                0.37407,                    0.4,                0.23913,                0.14914,                  2.017,                 2.5419,                 1.6021,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.4069,                 1.0756,                 1.2091,                0.58012,                    0.3,                0.30897,                0.17635,                 1.9385,                 2.2517,                 1.4912,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.2717,                 1.0011,                 1.1317,                0.60428,                    0.5,                0.42769,                0.27526,                 1.6084,                 2.0433,                 1.5439,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.2715,                 1.0361,                 1.2117,                0.49621,                    0.5,                0.39156,                0.23546,                 1.6378,                 2.2269,                 1.5585,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.2674,                0.97347,                   1.17,                0.83854,                    0.3,                0.33548,                0.19809,                 2.0876,                 2.5861,                 1.7726,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.4669,                 1.2995,                 1.2666,                0.92896,                    0.3,                0.35217,                0.19142,                 2.1839,                 2.5786,                 1.6851,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.4072,                 1.2428,                  1.243,                0.28305,                    0.4,                0.22442,                0.08545,                 2.3795,                 2.4911,                 1.7375,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.3835,                 1.1669,                 1.1458,                0.28217,                    0.6,                0.26975,                0.11427,                  2.432,                 2.5638,                  1.828,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.2577,                 1.1859,                 1.1371,                0.70986,                    0.5,                0.46661,                0.19549,                 2.1096,                 1.9936,                 1.7488,               0.001604,               0.001604,               0.001604
                     43,                 1.3001,                 1.1217,                 1.1785,                0.63229,                    0.6,                0.51137,                0.21091,                  2.004,                 1.8023,                 1.6423,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.2741,                 1.1599,                 1.1537,                0.74048,                0.57334,                0.53513,                0.19567,                 1.8392,                 1.9458,                 1.5962,              0.0015842,              0.0015842,              0.0015842
                     45,                  1.392,                  1.156,                 1.2198,                0.54022,                    0.6,                0.39702,                0.16293,                  2.075,                  2.115,                 1.8054,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.3286,                 1.1856,                  1.168,                0.27809,                    0.6,                0.28991,                0.11917,                 2.1876,                 2.3959,                 1.6004,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.2483,                 0.9656,                 1.1547,                0.64906,                    0.4,                0.42032,                0.18453,                 1.8095,                 1.8869,                 1.4421,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.2198,                0.98882,                 1.1527,                 0.8096,                    0.5,                0.49453,                0.25018,                 2.0205,                 1.8593,                  1.761,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.2924,                 1.0433,                 1.1842,                0.49705,                    0.6,                0.37673,                0.17379,                 1.9965,                 1.8895,                 1.8534,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.2525,                 1.0024,                 1.1525,                 0.4906,                    0.4,                 0.3845,                0.13611,                 2.2924,                 2.3173,                 1.9969,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.3201,                0.98442,                 1.2303,                0.44744,                    0.4,                0.37921,                 0.1444,                 2.3146,                 2.4954,                 1.9686,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.2241,                0.95995,                 1.1594,                0.73329,                    0.4,                0.38506,                0.19722,                 1.8827,                 2.2561,                 1.7035,               0.001505,               0.001505,               0.001505
                     53,                 1.0922,                0.76315,                 1.0628,                0.49331,                    0.5,                0.36644,                0.20009,                 1.9433,                 2.4235,                  1.734,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.1971,                0.90561,                 1.1486,                0.42025,                    0.4,                0.27382,                0.14335,                  1.975,                 2.1471,                 1.5849,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.1523,                0.82957,                 1.0782,                 0.4891,                    0.5,                0.34351,                 0.1678,                 1.8888,                 1.9297,                 1.5235,              0.0014753,              0.0014753,              0.0014753
                     56,                  1.181,                0.83624,                 1.0974,                0.33242,                    0.4,                0.28525,                0.15799,                 2.0344,                 2.2855,                 1.5401,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.1604,                0.84298,                 1.1171,                0.68723,                0.44318,                0.42452,                0.20438,                 2.1809,                 2.3506,                 1.6322,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.3408,                 0.9675,                  1.211,                0.69776,                    0.5,                0.50303,                0.28767,                 1.9211,                 1.8639,                 1.5115,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.1883,                0.83337,                 1.1208,                0.66036,                0.58487,                0.49882,                 0.2952,                 1.9642,                 1.6578,                 1.7025,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.1096,                0.80473,                 1.0888,                0.51617,                    0.6,                 0.4142,                0.26877,                 1.6967,                 1.6183,                 1.5146,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.1459,                0.80516,                 1.0856,                0.72213,                    0.5,                0.52644,                0.37956,                 1.5723,                 1.7302,                 1.4513,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.0955,                0.78783,                  1.079,                0.73478,                    0.6,                0.46807,                0.27711,                 1.7707,                 2.0066,                 1.6225,               0.001406,               0.001406,               0.001406
                     63,                 1.0844,                0.75754,                 1.0397,                0.58401,                    0.5,                0.37884,                0.22326,                 1.8863,                  2.044,                 1.7844,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.0631,                0.73771,                 1.0777,                0.73452,                    0.6,                0.49826,                0.24795,                 1.8652,                 1.9371,                 1.7799,              0.0013862,              0.0013862,              0.0013862
