                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0471,                 4.9153,                 1.7788,                0.00067,                    0.2,                0.01626,                0.00351,                 1.4355,                 5.2611,                 1.6095,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9596,                 5.0878,                 1.6438,                0.00067,                    0.2,                0.01628,                0.00359,                 1.3615,                 5.0264,                 1.5104,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.7751,                 4.1906,                 1.4002,                0.00133,                    0.4,                0.01039,                0.00325,                 1.5475,                 5.0255,                 1.3941,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.6275,                 3.1975,                 1.3273,                0.00167,                    0.5,                0.09934,                0.07764,                 1.1977,                 4.5401,                 1.1983,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.6154,                 3.0023,                 1.3599,                0.00133,                    0.4,                0.01171,                0.00968,                 1.3191,                 4.4801,                 1.2084,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.6101,                 3.0538,                 1.3574,                  0.002,                    0.6,                0.00314,                0.00179,                 1.7565,                  4.567,                 1.2813,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.5844,                  2.661,                 1.2643,                  0.002,                    0.6,                0.10761,                0.07517,                 1.4059,                 4.3527,                 1.1497,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.5581,                   2.32,                 1.2799,                0.00556,                    0.2,                0.09997,                0.07893,                 1.2314,                 4.2899,                 1.1021,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.7411,                 2.6005,                 1.3796,                0.00233,                    0.7,                0.10121,                0.07055,                 1.4189,                 4.1812,                 1.2555,               0.001018,               0.001018,               0.001018
                     10,                  1.533,                 2.2092,                 1.3398,                  0.003,                    0.9,                0.01913,                 0.0149,                 1.3366,                 4.2469,                 1.1981,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.5308,                 2.1138,                  1.294,                      1,                 0.1768,                0.37858,                0.23658,                 1.4537,                 3.7829,                 1.2459,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5021,                 2.0156,                 1.2611,                0.90734,                    0.3,                0.29789,                0.12151,                 1.5328,                 3.9015,                 1.3487,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.5085,                 2.4566,                 1.2941,                0.76929,                    0.4,                0.45067,                 0.2837,                 1.5919,                 3.0528,                 1.4006,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.3644,                 2.0915,                 1.2072,                0.62305,                    0.3,                0.38255,                0.29337,                 1.4663,                 3.0132,                 1.2459,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.5231,                 2.0308,                 1.2861,                0.78702,                    0.4,                0.38694,                0.29587,                  1.279,                  3.062,                 1.2108,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.4278,                 2.0308,                 1.2879,                0.40563,                    0.3,                0.27611,                0.16026,                 1.3616,                 4.2667,                 1.2466,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.6063,                 2.0769,                 1.3591,                0.06956,                    0.2,                 0.0197,                0.00989,                 1.4433,                 5.3505,                 1.4032,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.4799,                 1.9289,                 1.3558,                0.70683,                    0.3,                0.37835,                0.22315,                  1.329,                 2.8137,                 1.2704,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.5066,                 2.0879,                 1.3711,                0.79625,                    0.5,                0.63147,                0.40889,                 1.3377,                  2.189,                 1.1802,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.4647,                 1.8696,                 1.3354,                0.87167,                0.68133,                0.68972,                0.35018,                 1.5613,                 2.1343,                 1.2745,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.4455,                 1.7977,                 1.2729,                0.81815,                    0.7,                0.70171,                0.36297,                 1.5199,                 2.2076,                 1.2348,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.4715,                 1.8086,                 1.2021,                0.85651,                    0.6,                0.68393,                0.37508,                 1.3774,                 2.3965,                 1.1674,               0.001802,               0.001802,               0.001802
                     23,                 1.4144,                 1.6956,                 1.2132,                0.89338,                    0.5,                0.68062,                0.34639,                  1.662,                  2.379,                 1.3015,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.5327,                 1.6122,                 1.3297,                0.84961,                0.56836,                0.59471,                0.33438,                 1.5381,                 2.2018,                 1.3834,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.4709,                 1.7888,                 1.4015,                0.73033,                0.54493,                0.55856,                0.32362,                 1.4932,                 2.4207,                 1.3401,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.4385,                 1.5871,                 1.2316,                 0.7656,                    0.7,                0.75443,                0.40095,                 1.4427,                 1.6412,                 1.3242,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4462,                 1.6353,                 1.3242,                0.97648,                    0.6,                0.77453,                 0.4243,                 1.6153,                 1.5596,                 1.5394,              0.0017525,              0.0017525,              0.0017525
                     28,                   1.41,                 1.4633,                 1.2577,                      1,                0.62338,                0.78727,                0.41466,                  1.514,                 2.1034,                  1.329,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.5029,                 1.5162,                 1.2682,                      1,                0.59161,                0.72691,                0.40592,                 1.5065,                  2.089,                 1.3565,              0.0017327,              0.0017327,              0.0017327
