                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1396,                 5.1567,                 1.7334,                0.00067,                0.18182,                0.00045,                  9e-05,                 1.5078,                 5.0861,                 1.5832,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.9885,                 5.5576,                 1.6915,                  0.001,                0.27273,                0.00068,                0.00034,                 1.2689,                 4.9438,                 1.5034,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.8064,                 3.9876,                 1.3143,                  0.001,                0.27273,                0.00072,                0.00033,                 1.7641,                 5.3062,                 1.7535,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.7367,                 3.3327,                 1.2997,                  0.001,                0.27273,                0.00138,                0.00072,                 1.7132,                  5.159,                 1.6489,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.6369,                 2.7613,                 1.3295,                  0.002,                0.54545,                0.00455,                0.00221,                 1.2479,                 4.5309,                 1.2451,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.6801,                 2.9111,                 1.3065,                  0.002,                0.54545,                0.00276,                0.00168,                 1.4232,                 4.5199,                 1.3296,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.6181,                 2.7842,                 1.2689,                  0.003,                0.81818,                0.03537,                0.01105,                 1.5245,                 4.3688,                  1.326,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.5311,                 2.3608,                 1.2355,                0.00267,                0.72727,                0.10057,                 0.0786,                 1.4279,                 4.3121,                 1.2194,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.6344,                 2.6012,                 1.3217,                0.00267,                0.72727,                0.05531,                0.04902,                 1.3638,                 4.1842,                 1.1451,               0.001018,               0.001018,               0.001018
                     10,                 1.5523,                 2.5378,                 1.2798,                0.01172,                0.27273,                0.12893,                0.10231,                 1.4577,                 4.0139,                  1.178,              0.0011274,              0.0011274,              0.0011274
                     11,                 1.4952,                 2.2558,                 1.2027,                      1,                0.24813,                0.53804,                0.36249,                 1.5001,                  3.621,                 1.2415,              0.0012357,              0.0012357,              0.0012357
                     12,                 1.5219,                  2.028,                 1.2349,                0.89897,                0.27273,                0.46106,                0.31828,                 1.5373,                 3.2924,                 1.2585,              0.0013427,              0.0013427,              0.0013427
                     13,                 1.4292,                 2.2737,                 1.2287,                0.96136,                0.36364,                 0.5362,                0.32204,                 1.4449,                  2.979,                 1.2636,              0.0014485,              0.0014485,              0.0014485
                     14,                 1.4861,                 2.1363,                 1.3109,                0.83591,                0.36364,                0.61297,                0.34049,                 1.6235,                 2.8761,                 1.3983,              0.0015532,              0.0015532,              0.0015532
                     15,                 1.4684,                 2.0168,                 1.2138,                0.01233,                0.36364,                0.01471,                0.00675,                  1.591,                 40.178,                 1.3936,              0.0016566,              0.0016566,              0.0016566
                     16,                 1.6692,                  2.167,                 1.2831,                      1,                0.27232,                0.40345,                0.26856,                 1.6373,                 2.8504,                  1.382,              0.0017589,              0.0017589,              0.0017589
                     17,                 1.5065,                 1.9927,                  1.197,                      1,                0.39377,                0.50082,                 0.3554,                 1.5392,                 2.4975,                 1.3537,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.4444,                  1.944,                 1.2149,                0.74977,                0.45455,                0.50672,                0.27073,                 1.6933,                 2.1442,                 1.3567,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.5455,                 1.9317,                 1.3105,                 0.6629,                0.72727,                0.68016,                 0.2925,                 1.7562,                  1.948,                 1.4886,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.4399,                  1.832,                 1.2552,                0.33773,                0.54545,                0.43801,                0.24214,                 1.5253,                 2.2069,                 1.4673,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.4222,                 1.6965,                 1.2341,                0.81766,                0.41181,                0.51557,                0.34083,                 1.4192,                 2.3741,                 1.3154,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.4854,                 1.8294,                 1.2097,                0.95015,                0.45455,                0.54163,                0.38327,                 1.4559,                  2.086,                 1.3452,               0.001802,               0.001802,               0.001802
                     23,                 1.6155,                 1.9027,                 1.2383,                0.77997,                0.45455,                0.49508,                0.33519,                 1.6403,                 2.2528,                 1.5693,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.4423,                 1.6953,                 1.2783,                0.20792,                0.27273,                0.12537,                0.09496,                 1.4831,                 4.8693,                 1.4015,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.4335,                  1.689,                 1.2286,                0.71636,                0.27273,                0.29692,                0.23237,                 1.6398,                 2.7381,                 1.5372,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.3345,                 1.4816,                 1.1857,                0.64989,                0.36364,                0.46834,                0.29996,                 1.4581,                 2.1436,                 1.4033,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4769,                 1.7665,                 1.2389,                 0.4913,                0.35257,                0.30217,                0.20142,                 1.7209,                 2.7984,                 1.5267,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.5707,                 1.7535,                  1.348,                0.59685,                0.45455,                0.48042,                0.27291,                  1.573,                 2.3503,                 1.4575,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.4922,                  1.626,                  1.297,                0.52604,                0.45455,                0.45343,                0.26628,                 1.4869,                 2.1445,                 1.3584,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.4164,                 1.5387,                 1.2152,                0.80407,                0.45455,                0.58924,                0.35987,                 1.4948,                 2.1786,                 1.3301,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.3606,                 1.5127,                 1.2613,                0.81182,                0.45455,                0.54121,                0.35302,                 1.4698,                 1.9423,                 1.4167,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.4534,                 1.6689,                 1.2724,                0.82475,                0.54545,                0.62348,                0.38207,                 1.3973,                 1.6418,                 1.3523,               0.001703,               0.001703,               0.001703
                     33,                 1.3139,                 1.3081,                 1.1776,                0.56377,                0.63636,                0.60645,                0.34983,                 1.3912,                 1.7867,                  1.307,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.4027,                 1.4666,                 1.2743,                0.68369,                0.45455,                0.46969,                0.28726,                 1.3393,                 2.0253,                 1.2732,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.4101,                 1.6311,                 1.2756,                0.75175,                0.63636,                0.57645,                0.30063,                 1.3771,                  1.982,                 1.2532,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.3915,                  1.447,                  1.218,                0.94882,                0.72727,                0.82347,                0.48311,                 1.3258,                 1.5122,                 1.2198,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.3356,                  1.218,                 1.1595,                0.88778,                0.72005,                0.81947,                 0.5289,                 1.2559,                 1.3397,                 1.1927,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.1875,                  1.269,                 1.1304,                0.75332,                0.72727,                0.76116,                 0.4761,                  1.287,                 1.5359,                 1.2028,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.3475,                 1.2736,                 1.1417,                0.72205,                0.72727,                0.64521,                0.45271,                 1.3253,                 1.6717,                 1.2271,              0.0016337,              0.0016337,              0.0016337
                     40,                  1.368,                 1.2996,                 1.1987,                 0.7898,                0.72727,                0.72564,                0.41755,                 1.3842,                 1.3781,                 1.3277,              0.0016238,              0.0016238,              0.0016238
                     41,                  1.366,                 1.1642,                 1.2377,                0.73075,                0.72727,                0.76232,                 0.4556,                 1.2964,                 1.2809,                 1.3236,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.4284,                 1.3522,                 1.2048,                0.81426,                0.54545,                0.67879,                 0.4332,                 1.2566,                 1.4615,                 1.2136,               0.001604,               0.001604,               0.001604
                     43,                 1.3912,                 1.4325,                 1.2285,                      1,                0.54545,                 0.6588,                0.42373,                 1.3511,                   1.47,                 1.2613,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.2541,                 1.1417,                  1.119,                0.98989,                0.54545,                0.69142,                0.41189,                  1.378,                 1.4165,                 1.3111,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.2622,                 1.1852,                 1.1627,                0.73842,                0.54545,                0.60918,                0.42183,                 1.2504,                 1.3425,                 1.2489,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.2752,                 1.2312,                 1.1497,                 0.6946,                0.54545,                0.57581,                0.36687,                 1.3516,                 1.5478,                 1.3083,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.2169,                 1.1539,                 1.0903,                0.82483,                0.54545,                0.61126,                0.36093,                 1.4134,                 1.6427,                 1.3817,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.2713,                 1.0251,                 1.1325,                0.87444,                0.63349,                0.74642,                0.46077,                 1.3696,                 1.2777,                 1.3568,              0.0015446,              0.0015446,              0.0015446
