                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1402,                 5.1141,                 1.7271,                0.00074,                0.22222,                 0.0006,                0.00021,                 2.0102,                 5.6759,                 1.8634,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.2256,                 5.0939,                 1.7943,                0.00074,                0.22222,                0.00068,                0.00027,                 2.0192,                 5.4837,                 1.8036,             0.00021891,             0.00021891,             0.00021891
                      3,                 1.6037,                 3.9011,                 1.3829,                0.00111,                0.33333,                0.00121,                0.00041,                 3.1461,                 6.0799,                 2.1034,             0.00033663,             0.00033663,             0.00033663
                      4,                 1.6189,                 3.3362,                 1.3552,                0.00148,                0.44444,                0.00145,                0.00049,                 2.7768,                 5.8081,                 1.7058,             0.00045317,             0.00045317,             0.00045317
                      5,                 1.4358,                  2.795,                 1.2695,                0.00148,                0.44444,                0.00133,                0.00043,                 2.6035,                 5.9662,                 1.6272,             0.00056852,             0.00056852,             0.00056852
                      6,                 1.5382,                 2.5991,                  1.304,                0.00222,                0.66667,                0.00191,                0.00057,                 2.3671,                  5.418,                 1.6479,             0.00068267,             0.00068267,             0.00068267
                      7,                 1.4531,                  2.695,                 1.2251,                0.00222,                0.66667,                0.00381,                0.00161,                 1.8681,                 4.8587,                 1.4766,             0.00079565,             0.00079565,             0.00079565
                      8,                 1.4216,                  2.273,                 1.2127,                0.00222,                0.66667,                 0.0035,                0.00129,                 1.6484,                 4.5986,                 1.3402,             0.00090743,             0.00090743,             0.00090743
                      9,                 1.5657,                 2.4164,                 1.3323,                0.00259,                0.77778,                0.00488,                0.00251,                 1.6441,                 4.4272,                  1.267,               0.001018,               0.001018,               0.001018
                     10,                 1.4762,                 2.2278,                 1.2566,                0.00259,                0.77778,                0.03065,                0.01123,                 1.9327,                 4.5621,                 1.4438,              0.0011274,              0.0011274,              0.0011274
